STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,INDICATOR,Indicator,GEO_PICT,Pacific Island Countries and territories,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,INCOME,Income,EDUCATION,Education level,OCCUPATION,Occupation,COMPOSITE_BREAKDOWN,Composite breakdown,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,REPORTING_TYPE,Reporting type,NATURE,Nature,DATA_SOURCE,Data source,OBS_STATUS,Observation Status,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_MOB_4GNTWK,"Proportion of population covered by at least a 4G mobile
            network",PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2022,,90,,PERCENT,percent,G,Global,C,Country Data,Direction générale de l'économie numérique (DGEN),,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_MOB_4GNTWK,"Proportion of population covered by at least a 4G mobile
            network",WS,Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2022,,99,,PERCENT,percent,G,Global,C,Country Data,Office of the Regulator,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_MOB_4GNTWK,"Proportion of population covered by at least a 4G mobile
            network",KI,Kiribati,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2022,,64,,PERCENT,percent,G,Global,C,Country Data,"Ministry of Information, Communication, Transport & Tourism Development",,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_MOB_4GNTWK,"Proportion of population covered by at least a 4G mobile
            network",TO,Tonga,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,96,,PERCENT,percent,G,Global,C,Country Data,"Ministry of Meteorology, Energy, Information, Disaster Management, Environment and Climate Change, Communication (MEIDECC)",,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_MOB_4GNTWK,"Proportion of population covered by at least a 4G mobile
            network",NC,New Caledonia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,79.5,,PERCENT,percent,G,Global,E,Estimated,ITU estimate.,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_MOB_4GNTWK,"Proportion of population covered by at least a 4G mobile
            network",NR,Nauru,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,30,,PERCENT,percent,G,Global,E,Estimated,ITU estimate.,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_MOB_4GNTWK,"Proportion of population covered by at least a 4G mobile
            network",VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2022,,70,,PERCENT,percent,G,Global,C,Country Data,"Office of the Telecommunications, Radiocommunications & Broadcasting Regulator",,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_MOB_4GNTWK,"Proportion of population covered by at least a 4G mobile
            network",MH,Marshall Islands,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2015,,65,,RATIO_POP,ratio to total population,G,Global,_X,Not Available,ITU Estimate,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_MOB_4GNTWK,"Proportion of population covered by at least a 4G mobile
            network",NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,100,,PERCENT,percent,N,National,C,Country Data,Telecom Niue,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_MOB_4GNTWK,"Proportion of population covered by at least a 4G mobile
            network",SB,Solomon Islands,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,25,,PERCENT,percent,G,Global,E,Estimated,ITU estimate.,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_MOB_4GNTWK,"Proportion of population covered by at least a 4G mobile
            network",FM,Micronesia (Federated States of),_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,0,,PERCENT,percent,G,Global,C,Country Data,"Department of Transportation, Communications and Infrastructure",,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_MOB_4GNTWK,"Proportion of population covered by at least a 4G mobile
            network",TV,Tuvalu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,25,,PERCENT,percent,G,Global,E,Estimated,ITU estimate.,,,,,
