STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,URBANIZATION,Urbanization,INDICATOR,Indicator,SEX,Sex,AGE,Age,AGRICULTURE_VEGETABLE,Vegetable gardening,AGRICULTURE_TUBER,Tuber farming,AGRICULTURE_FRUIT,Fruit gardening,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment,CONF_STATUS,Confidentiality status
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,NU,Niue,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2015,,31,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,KI-D,Southern Kiribati,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,45,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,TO-6,Ongo Niua,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2021,,84,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,TO,Tonga,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2021,,67,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,PW-1,Urban,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2013,,27,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,PW,Palau,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2013,,31,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,TO-3,Vava'u,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2021,,79,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,KI-C,Central Kiribati,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,79,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,PW-2,Rural,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2013,,50,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,MH-6,Rural 4,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,37,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,MH-1,urban 1,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,3,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,KI,Kiribati,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,41,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,VU-8,Shefa Urban,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,62,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,MH,Marshall Islands,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,10,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,VU-2,Sanma,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,99,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,TO-4,Ha'apai,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2021,,87,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,VU-7,Sanma Urban,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,89,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,KI-B,South Tarawa,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,54,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,MH-5,Rural 3,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,21,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,TV-A,Urban,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2015,,14,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,CK-1,Urban,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2015,,37,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,VU,Vanuatu,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,91,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,TK,Tokelau,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2015,,1,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,TV-B,Rural,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2015,,92,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,VU-1,Torba,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,99,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,TO-5,Eua,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2021,,82,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,KI-E,Line & Phoenix,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,11,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,VU-3,Penama,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,100,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,TV,Tuvalu,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2015,,56,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,VU-6,Tafea,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,99,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,VU-4,Malampa,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,100,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,TO-1,Tongatapu urban,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2021,,47,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,KI-A,Northern Kiribati,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,31,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,VU-5,Shefa,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,97,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,MH-4,Rural 2,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,32,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,CK-2,Rural,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2015,,65,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,MH-3,Rural 1,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2019,,34,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,TO-2,Tongatapu rural,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2021,,67,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_AGRICULTURE_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved in agriculture farming",I,A,Annual,CK,Cook Islands,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,2015,,44,,PERCENT,percent,,,,,,,,,,
