,latitude,longitude,ph_trend
0,-24.875,140.125,
1,-24.875,140.375,
2,-24.875,140.625,
3,-24.875,140.875,
4,-24.875,141.125,
5,-24.875,141.375,
6,-24.875,141.625,
7,-24.875,141.875,
8,-24.875,142.125,
9,-24.875,142.375,
10,-24.875,142.625,
11,-24.875,142.875,
12,-24.875,143.125,
13,-24.875,143.375,
14,-24.875,143.625,
15,-24.875,143.875,
16,-24.875,144.125,
17,-24.875,144.375,
18,-24.875,144.625,
19,-24.875,144.875,
20,-24.875,145.125,
21,-24.875,145.375,
22,-24.875,145.625,
23,-24.875,145.875,
24,-24.875,146.125,
25,-24.875,146.375,
26,-24.875,146.625,
27,-24.875,146.875,
28,-24.875,147.125,
29,-24.875,147.375,
30,-24.875,147.625,
31,-24.875,147.875,
32,-24.875,148.125,
33,-24.875,148.375,
34,-24.875,148.625,
35,-24.875,148.875,
36,-24.875,149.125,
37,-24.875,149.375,
38,-24.875,149.625,
39,-24.875,149.875,
40,-24.875,150.125,
41,-24.875,150.375,
42,-24.875,150.625,
43,-24.875,150.875,
44,-24.875,151.125,
45,-24.875,151.375,
46,-24.875,151.625,
47,-24.875,151.875,
48,-24.875,152.125,
49,-24.875,152.375,
50,-24.875,152.625,
51,-24.875,152.875,-0.0016553379
52,-24.875,153.125,
53,-24.875,153.375,
54,-24.875,153.625,-0.0015508713
55,-24.875,153.875,-0.0015468266
56,-24.875,154.125,-0.0015427271
57,-24.875,154.375,-0.0015283683
58,-24.875,154.625,-0.0015279669
59,-24.875,154.875,-0.0015181028
60,-24.875,155.125,-0.0015151007
61,-24.875,155.375,-0.001501545
62,-24.875,155.625,-0.0015098017
63,-24.875,155.875,-0.0015065437
64,-24.875,156.125,-0.0015083086
65,-24.875,156.375,-0.001502965
66,-24.875,156.625,-0.0015180738
67,-24.875,156.875,-0.0015112045
68,-24.875,157.125,-0.0015189697
69,-24.875,157.375,-0.0015223678
70,-24.875,157.625,-0.0015314341
71,-24.875,157.875,-0.0015303369
72,-24.875,158.125,-0.0015414808
73,-24.875,158.375,-0.0015419916
74,-24.875,158.625,-0.0015472223
75,-24.875,158.875,-0.0015542806
76,-24.875,159.125,-0.0015512204
77,-24.875,159.375,-0.0015597682
78,-24.875,159.625,-0.0015585461
79,-24.875,159.875,-0.0015709997
80,-24.875,160.125,-0.0015862869
81,-24.875,160.375,-0.0015801761
82,-24.875,160.625,-0.0015889516
83,-24.875,160.875,-0.0015982807
84,-24.875,161.125,-0.001590854
85,-24.875,161.375,-0.0015986299
86,-24.875,161.625,-0.0015960695
87,-24.875,161.875,-0.0016019755
88,-24.875,162.125,-0.0016030922
89,-24.875,162.375,-0.001605133
90,-24.875,162.625,-0.00161092
91,-24.875,162.875,-0.0016076249
92,-24.875,163.125,-0.0016128696
93,-24.875,163.375,-0.0016132605
94,-24.875,163.625,-0.0016128545
95,-24.875,163.875,-0.0016232012
96,-24.875,164.125,-0.0016211263
97,-24.875,164.375,-0.0016245181
98,-24.875,164.625,-0.0016188216
99,-24.875,164.875,-0.0016273194
100,-24.875,165.125,-0.0016231247
101,-24.875,165.375,-0.0016182847
102,-24.875,165.625,-0.0016296835
103,-24.875,165.875,-0.0016336926
104,-24.875,166.125,-0.0016328517
105,-24.875,166.375,-0.0016294679
106,-24.875,166.625,-0.0016374154
107,-24.875,166.875,-0.0016370115
108,-24.875,167.125,-0.0016224604
109,-24.875,167.375,-0.0016211147
110,-24.875,167.625,-0.0016207333
111,-24.875,167.875,-0.0016297365
112,-24.875,168.125,-0.0016370825
113,-24.875,168.375,-0.0016502326
114,-24.875,168.625,-0.0016545958
115,-24.875,168.875,-0.0016496716
116,-24.875,169.125,-0.0016538275
117,-24.875,169.375,-0.0016597328
118,-24.875,169.625,-0.0016687197
119,-24.875,169.875,-0.0016727102
120,-24.875,170.125,-0.0016725443
121,-24.875,170.375,-0.0016721749
122,-24.875,170.625,-0.0016674799
123,-24.875,170.875,-0.0016755584
124,-24.875,171.125,-0.0016750951
125,-24.875,171.375,-0.001684852
126,-24.875,171.625,-0.0016831574
127,-24.875,171.875,-0.0016900294
128,-24.875,172.125,-0.0016926856
129,-24.875,172.375,-0.0016981189
130,-24.875,172.625,-0.0016894415
131,-24.875,172.875,-0.0016793235
132,-24.875,173.125,-0.0016728954
133,-24.875,173.375,-0.0016704252
134,-24.875,173.625,-0.0016624033
135,-24.875,173.875,-0.0016636276
136,-24.875,174.125,-0.0016614893
137,-24.875,174.375,-0.0016609462
138,-24.875,174.625,-0.0016637896
139,-24.875,174.875,-0.0016717975
140,-24.875,175.125,-0.0016671498
141,-24.875,175.375,-0.0016636539
142,-24.875,175.625,-0.0016574541
143,-24.875,175.875,-0.0016647204
144,-24.875,176.125,-0.0016682183
145,-24.875,176.375,-0.0016604107
146,-24.875,176.625,-0.001662684
147,-24.875,176.875,-0.001667148
148,-24.875,177.125,-0.0016554473
149,-24.875,177.375,-0.001658101
150,-24.875,177.625,-0.001647335
151,-24.875,177.875,-0.0016550773
152,-24.875,178.125,-0.0016629943
153,-24.875,178.375,-0.0016730452
154,-24.875,178.625,-0.0016683578
155,-24.875,178.875,-0.0016719507
156,-24.875,179.125,-0.0016690579
157,-24.875,179.375,-0.0016662967
158,-24.875,179.625,-0.001652463
159,-24.875,179.875,-0.0016505261
160,-24.625,140.125,
161,-24.625,140.375,
162,-24.625,140.625,
163,-24.625,140.875,
164,-24.625,141.125,
165,-24.625,141.375,
166,-24.625,141.625,
167,-24.625,141.875,
168,-24.625,142.125,
169,-24.625,142.375,
170,-24.625,142.625,
171,-24.625,142.875,
172,-24.625,143.125,
173,-24.625,143.375,
174,-24.625,143.625,
175,-24.625,143.875,
176,-24.625,144.125,
177,-24.625,144.375,
178,-24.625,144.625,
179,-24.625,144.875,
180,-24.625,145.125,
181,-24.625,145.375,
182,-24.625,145.625,
183,-24.625,145.875,
184,-24.625,146.125,
185,-24.625,146.375,
186,-24.625,146.625,
187,-24.625,146.875,
188,-24.625,147.125,
189,-24.625,147.375,
190,-24.625,147.625,
191,-24.625,147.875,
192,-24.625,148.125,
193,-24.625,148.375,
194,-24.625,148.625,
195,-24.625,148.875,
196,-24.625,149.125,
197,-24.625,149.375,
198,-24.625,149.625,
199,-24.625,149.875,
200,-24.625,150.125,
201,-24.625,150.375,
202,-24.625,150.625,
203,-24.625,150.875,
204,-24.625,151.125,
205,-24.625,151.375,
206,-24.625,151.625,
207,-24.625,151.875,
208,-24.625,152.125,
209,-24.625,152.375,
210,-24.625,152.625,
211,-24.625,152.875,-0.0015761952
212,-24.625,153.125,-0.001584599
213,-24.625,153.375,-0.0015425348
214,-24.625,153.625,-0.0015237734
215,-24.625,153.875,-0.0015192954
216,-24.625,154.125,-0.0015160526
217,-24.625,154.375,-0.0015272617
218,-24.625,154.625,-0.0015226009
219,-24.625,154.875,-0.0015146874
220,-24.625,155.125,-0.0015129189
221,-24.625,155.375,-0.0015092213
222,-24.625,155.625,-0.0015051039
223,-24.625,155.875,-0.001504887
224,-24.625,156.125,-0.0015121375
225,-24.625,156.375,-0.0015131704
226,-24.625,156.625,-0.001518413
227,-24.625,156.875,-0.0015306551
228,-24.625,157.125,-0.001520904
229,-24.625,157.375,-0.0015225259
230,-24.625,157.625,-0.0015337338
231,-24.625,157.875,-0.0015388757
232,-24.625,158.125,-0.0015422538
233,-24.625,158.375,-0.001541686
234,-24.625,158.625,-0.0015466963
235,-24.625,158.875,-0.0015516765
236,-24.625,159.125,-0.0015610453
237,-24.625,159.375,-0.0015605284
238,-24.625,159.625,-0.0015733107
239,-24.625,159.875,-0.0015866383
240,-24.625,160.125,-0.001582563
241,-24.625,160.375,-0.0015855668
242,-24.625,160.625,-0.0015867663
243,-24.625,160.875,-0.0015899582
244,-24.625,161.125,-0.0015983526
245,-24.625,161.375,-0.0015985641
246,-24.625,161.625,-0.0016080634
247,-24.625,161.875,-0.0016065746
248,-24.625,162.125,-0.0016086312
249,-24.625,162.375,-0.0016094816
250,-24.625,162.625,-0.0016110078
251,-24.625,162.875,-0.0016119642
252,-24.625,163.125,-0.0016242056
253,-24.625,163.375,-0.0016180293
254,-24.625,163.625,-0.001623042
255,-24.625,163.875,-0.0016230565
256,-24.625,164.125,-0.0016220139
257,-24.625,164.375,-0.0016172517
258,-24.625,164.625,-0.0016173826
259,-24.625,164.875,-0.0016168762
260,-24.625,165.125,-0.0016261718
261,-24.625,165.375,-0.0016210144
262,-24.625,165.625,-0.001624316
263,-24.625,165.875,-0.0016337115
264,-24.625,166.125,-0.0016349087
265,-24.625,166.375,-0.0016310225
266,-24.625,166.625,-0.0016358669
267,-24.625,166.875,-0.0016368971
268,-24.625,167.125,-0.0016301182
269,-24.625,167.375,-0.0016252184
270,-24.625,167.625,-0.0016256559
271,-24.625,167.875,-0.0016263998
272,-24.625,168.125,-0.0016251073
273,-24.625,168.375,-0.0016345078
274,-24.625,168.625,-0.0016379466
275,-24.625,168.875,-0.0016397423
276,-24.625,169.125,-0.0016414998
277,-24.625,169.375,-0.0016445061
278,-24.625,169.625,-0.0016524098
279,-24.625,169.875,-0.0016396644
280,-24.625,170.125,-0.0016500065
281,-24.625,170.375,-0.0016538454
282,-24.625,170.625,-0.0016494086
283,-24.625,170.875,-0.0016560595
284,-24.625,171.125,-0.001661703
285,-24.625,171.375,-0.0016721638
286,-24.625,171.625,-0.0016724849
287,-24.625,171.875,-0.0016659437
288,-24.625,172.125,-0.0016821999
289,-24.625,172.375,-0.0016762633
290,-24.625,172.625,-0.0016767825
291,-24.625,172.875,-0.0016625082
292,-24.625,173.125,-0.0016655305
293,-24.625,173.375,-0.0016525984
294,-24.625,173.625,-0.001658519
295,-24.625,173.875,-0.0016509354
296,-24.625,174.125,-0.0016514697
297,-24.625,174.375,-0.0016548812
298,-24.625,174.625,-0.0016524013
299,-24.625,174.875,-0.0016592455
300,-24.625,175.125,-0.0016628228
301,-24.625,175.375,-0.00165364
302,-24.625,175.625,-0.001656455
303,-24.625,175.875,-0.0016563495
304,-24.625,176.125,-0.0016524008
305,-24.625,176.375,-0.0016549171
306,-24.625,176.625,-0.0016427748
307,-24.625,176.875,-0.0016489525
308,-24.625,177.125,-0.0016415425
309,-24.625,177.375,-0.0016472875
310,-24.625,177.625,-0.0016478279
311,-24.625,177.875,-0.0016453128
312,-24.625,178.125,-0.0016500313
313,-24.625,178.375,-0.0016575999
314,-24.625,178.625,-0.0016647816
315,-24.625,178.875,-0.0016633016
316,-24.625,179.125,-0.0016688947
317,-24.625,179.375,-0.0016617009
318,-24.625,179.625,-0.0016512228
319,-24.625,179.875,-0.0016478216
320,-24.375,140.125,
321,-24.375,140.375,
