,GEO_PICT,agricultural_land,Pacific Island Countries and territories,agriculture_value_added,employment_agriculture,food_insecurity,fishing_families,ALEVI,AEVI
0,AS,14.05,American Samoa,,,,,,
1,FJ,17.16,Fiji,8.29,28.8,29.2,,0.48310023310023303,1.6783216783216783
2,FM,7.14,Micronesia (Federated States of),22.47,,,,3.1470588235294117,
3,GU,29.63,Guam,,0.24,,,,0.00809989875126561
4,KI,41.98,Kiribati,23.09,,41.0,44.0,0.5500238208670796,
5,MH,38.89,Marshall Islands,20.63,,,15.0,0.5304705579840575,
6,MP,1.17,Northern Mariana Islands,,,,,,
7,NC,10.07,New Caledonia,1.79,1.82,,,0.17775571002979146,0.1807348560079444
8,NR,20.0,Nauru,,,,14.0,,
9,PF,13.68,French Polynesia,2.25,2.11,,,0.16447368421052633,0.15423976608187134
10,PG,3.1,Papua New Guinea,16.93,18.48,57.3,,5.461290322580645,5.961290322580645
11,PW,9.35,Palau,3.41,,,10.0,0.3647058823529412,
12,SB,4.29,Solomon Islands,33.76,37.29,,,7.8694638694638686,8.692307692307692
13,TO,48.61,Tonga,16.32,26.94,14.8,10.0,0.3357333881917301,0.5542069533017898
14,TV,60.0,Tuvalu,,,,53.0,,
15,VU,15.34,Vanuatu,21.22,42.35,23.3,31.0,1.3833116036505866,2.7607561929595827
16,WS,19.85,Samoa,11.02,20.14,23.6,,0.5551637279596977,1.0146095717884132
