STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,WS,Samoa,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2016,,8.64,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,WS,Samoa,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2017,,9.91,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,WS,Samoa,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2018,,9.15,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,WS,Samoa,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2019,,9.1,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,WS,Samoa,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2020,,9.54,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,WS,Samoa,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2021,,9.85,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,WS,Samoa,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2022,,9.99,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,WS,Samoa,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2023,,11.02,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2016,,16.62,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2017,,16.81,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2018,,17.07,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2019,,19.64,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2020,,17.81,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2021,,16.32,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,PG,Papua New Guinea,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2016,,17.87,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,PG,Papua New Guinea,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2017,,17.65,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,PG,Papua New Guinea,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2018,,16.97,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,PG,Papua New Guinea,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2019,,16.98,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,PG,Papua New Guinea,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2020,,18.76,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,PG,Papua New Guinea,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2021,,18.99,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,PG,Papua New Guinea,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2022,,16.93,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,WS,Samoa,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2016,,15.32,,,,,,,,,,,
