STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,URBANIZATION,Urbanization,INDICATOR,Indicator,SEX,Sex,AGE,Age,FISHING_GLEANING,Fishing using gleaning,FISHING_LINE,Fishing using lines,FISHING_NET,Fishing using nets,FISHING_SPEAR,Fishing using spears,FISHING_OTHER_METHOD,Fishing using other methods,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment,CONF_STATUS,Confidentiality status
DATAFLOW,SPC:DF_FISHING_METHOD_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved fishing using various methods including (Gleaning, Line, Net, Spear, Other method)",I,A,Annual,TO,Tonga,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,_T,Total,2021,,10,,PERCENT,percent,,,,,Household Income and Expenditure Survey (HIES)2021,,,,,
DATAFLOW,SPC:DF_FISHING_METHOD_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved fishing using various methods including (Gleaning, Line, Net, Spear, Other method)",I,A,Annual,TK,Tokelau,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,_T,Total,2015,,24,,PERCENT,percent,,,,,Household Income and Expenditure Survey (HIES)2015,,,,,
DATAFLOW,SPC:DF_FISHING_METHOD_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved fishing using various methods including (Gleaning, Line, Net, Spear, Other method)",I,A,Annual,CK,Cook Islands,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,_T,Total,2015,,25,,PERCENT,percent,,,,,Household Income and Expenditure Survey (HIES)2015,,,,,
DATAFLOW,SPC:DF_FISHING_METHOD_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved fishing using various methods including (Gleaning, Line, Net, Spear, Other method)",I,A,Annual,PW,Palau,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,_T,Total,2013,,10,,PERCENT,percent,,,,,Household Income and Expenditure Survey (HIES)2013,,,,,
DATAFLOW,SPC:DF_FISHING_METHOD_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved fishing using various methods including (Gleaning, Line, Net, Spear, Other method)",I,A,Annual,NR,Nauru,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,_T,Total,2012,,14,,PERCENT,percent,,,,,Household Income and Expenditure Survey (HIES)2012,,,,,
DATAFLOW,SPC:DF_FISHING_METHOD_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved fishing using various methods including (Gleaning, Line, Net, Spear, Other method)",I,A,Annual,MH,Marshall Islands,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,_T,Total,2019,,15,,PERCENT,percent,,,,,Household Income and Expenditure Survey (HIES)2019,,,,,
DATAFLOW,SPC:DF_FISHING_METHOD_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved fishing using various methods including (Gleaning, Line, Net, Spear, Other method)",I,A,Annual,TV,Tuvalu,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,_T,Total,2015,,53,,PERCENT,percent,,,,,Household Income and Expenditure Survey (HIES)2015,,,,,
DATAFLOW,SPC:DF_FISHING_METHOD_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved fishing using various methods including (Gleaning, Line, Net, Spear, Other method)",I,A,Annual,KI,Kiribati,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,_T,Total,2019,,44,,PERCENT,percent,,,,,Household Income and Expenditure Survey (HIES)2019,,,,,
DATAFLOW,SPC:DF_FISHING_METHOD_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved fishing using various methods including (Gleaning, Line, Net, Spear, Other method)",I,A,Annual,VU,Vanuatu,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,_T,Total,2019,,31,,PERCENT,percent,,,,,Household Income and Expenditure Survey (HIES)2019,,,,,
DATAFLOW,SPC:DF_FISHING_METHOD_HIES(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific which were involved fishing using various methods including (Gleaning, Line, Net, Spear, Other method)",I,A,Annual,NU,Niue,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,_T,Total,2015,,17,,PERCENT,percent,,,,,Household Income and Expenditure Survey (HIES)2015,,,,,
