STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,INDICATOR,Indicator,GEO_PICT,Pacific Island Countries and territories,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,INCOME,Income,EDUCATION,Education level,OCCUPATION,Occupation,COMPOSITE_BREAKDOWN,Composite breakdown,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,REPORTING_TYPE,Reporting type,NATURE,Nature,DATA_SOURCE,Data source,OBS_STATUS,Observation Status,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_LSC,Liner Shipping Connectivity Index,CK,Cook Islands,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2010,,1.52,,INDEX,index,R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,"The figure is from Quarter 3 of the given year. A benchmark of 100 was set in 2004. For each of the five components in the calculation (number of regular containerized ships serviced in the country,their container-carrying capacity,maximum vessel size that can be received,number of services, and number of companies that deploy container ships to a country’s ports), a country’s value is divided by the maximum value of each component in 2004, the five components are then averaged for each country, and the average is divided by the maximum average for 2004 and multiplied by 100.",
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_LSC,Liner Shipping Connectivity Index,CK,Cook Islands,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2011,,1.52,,INDEX,index,R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,"The figure is from Quarter 3 of the given year. A benchmark of 100 was set in 2004. For each of the five components in the calculation (number of regular containerized ships serviced in the country,their container-carrying capacity,maximum vessel size that can be received,number of services, and number of companies that deploy container ships to a country’s ports), a country’s value is divided by the maximum value of each component in 2004, the five components are then averaged for each country, and the average is divided by the maximum average for 2004 and multiplied by 100.",
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_LSC,Liner Shipping Connectivity Index,CK,Cook Islands,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2012,,1.52,,INDEX,index,R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,"The figure is from Quarter 3 of the given year. A benchmark of 100 was set in 2004. For each of the five components in the calculation (number of regular containerized ships serviced in the country,their container-carrying capacity,maximum vessel size that can be received,number of services, and number of companies that deploy container ships to a country’s ports), a country’s value is divided by the maximum value of each component in 2004, the five components are then averaged for each country, and the average is divided by the maximum average for 2004 and multiplied by 100.",
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_LSC,Liner Shipping Connectivity Index,CK,Cook Islands,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2013,,2.63,,INDEX,index,R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,"The figure is from Quarter 3 of the given year. A benchmark of 100 was set in 2004. For each of the five components in the calculation (number of regular containerized ships serviced in the country,their container-carrying capacity,maximum vessel size that can be received,number of services, and number of companies that deploy container ships to a country’s ports), a country’s value is divided by the maximum value of each component in 2004, the five components are then averaged for each country, and the average is divided by the maximum average for 2004 and multiplied by 100.",
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_LSC,Liner Shipping Connectivity Index,CK,Cook Islands,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2014,,2.63,,INDEX,index,R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,"The figure is from Quarter 3 of the given year. A benchmark of 100 was set in 2004. For each of the five components in the calculation (number of regular containerized ships serviced in the country,their container-carrying capacity,maximum vessel size that can be received,number of services, and number of companies that deploy container ships to a country’s ports), a country’s value is divided by the maximum value of each component in 2004, the five components are then averaged for each country, and the average is divided by the maximum average for 2004 and multiplied by 100.",
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_LSC,Liner Shipping Connectivity Index,CK,Cook Islands,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,2.63,,INDEX,index,R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,"The figure is from Quarter 3 of the given year. A benchmark of 100 was set in 2004. For each of the five components in the calculation (number of regular containerized ships serviced in the country,their container-carrying capacity,maximum vessel size that can be received,number of services, and number of companies that deploy container ships to a country’s ports), a country’s value is divided by the maximum value of each component in 2004, the five components are then averaged for each country, and the average is divided by the maximum average for 2004 and multiplied by 100.",
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_LSC,Liner Shipping Connectivity Index,CK,Cook Islands,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,2.28,,INDEX,index,R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,"The figure is from Quarter 3 of the given year. A benchmark of 100 was set in 2004. For each of the five components in the calculation (number of regular containerized ships serviced in the country,their container-carrying capacity,maximum vessel size that can be received,number of services, and number of companies that deploy container ships to a country’s ports), a country’s value is divided by the maximum value of each component in 2004, the five components are then averaged for each country, and the average is divided by the maximum average for 2004 and multiplied by 100.",
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_LSC,Liner Shipping Connectivity Index,CK,Cook Islands,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,2.28,,INDEX,index,R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,"The figure is from Quarter 3 of the given year. A benchmark of 100 was set in 2004. For each of the five components in the calculation (number of regular containerized ships serviced in the country,their container-carrying capacity,maximum vessel size that can be received,number of services, and number of companies that deploy container ships to a country’s ports), a country’s value is divided by the maximum value of each component in 2004, the five components are then averaged for each country, and the average is divided by the maximum average for 2004 and multiplied by 100.",
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_LSC,Liner Shipping Connectivity Index,CK,Cook Islands,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,2.28,,INDEX,index,R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,"The figure is from Quarter 3 of the given year. A benchmark of 100 was set in 2004. For each of the five components in the calculation (number of regular containerized ships serviced in the country,their container-carrying capacity,maximum vessel size that can be received,number of services, and number of companies that deploy container ships to a country’s ports), a country’s value is divided by the maximum value of each component in 2004, the five components are then averaged for each country, and the average is divided by the maximum average for 2004 and multiplied by 100.",
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_LSC,Liner Shipping Connectivity Index,CK,Cook Islands,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,2.28,,INDEX,index,R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,"The figure is from Quarter 3 of the given year. A benchmark of 100 was set in 2004. For each of the five components in the calculation (number of regular containerized ships serviced in the country,their container-carrying capacity,maximum vessel size that can be received,number of services, and number of companies that deploy container ships to a country’s ports), a country’s value is divided by the maximum value of each component in 2004, the five components are then averaged for each country, and the average is divided by the maximum average for 2004 and multiplied by 100.",
