STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,URBANIZATION,Urbanization,INDICATOR,Indicator,SEX,Sex,AGE,Age,LIVESTOCK_PIG,Farming pigs,LIVESTOCK_CHICKEN,Farming chickens,LIVESTOCK_DUCK,Farming ducks,LIVESTOCK_OTHER,Farming other livestock,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment,CONF_STATUS,Confidentiality status
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,KI-E,Line & Phoenix,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,91,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,TV,Tuvalu,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2015,,83,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,NU,Niue,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2015,,22,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,TO,Tonga,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2021,,64,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,CK-2,Rural,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2015,,71,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,KI-A,Northern Kiribati,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,75,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,CK,Cook Islands,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2015,,45,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,TO-5,Eua,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2021,,82,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,VU-3,Penama,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,93,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,PW,Palau,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2013,,3,,PERCENT,percent,,,,,,,,,,
