Year,Month,Monthly_Temperature_C,Monthly_Uncertainty_C,Annual_Temperature_C,Annual_Uncertainty_C,Five_Year_Temperature_C,Five_Year_Uncertainty_C,Ten_Year_Temperature_C,Ten_Year_Uncertainty_C,Twenty_Year_Temperature_C,Twenty_Year_Uncertainty_C
1876,2,21.157,1.368,,,,,,,,
1876,3,21.625,1.414,,,,,,,,
1876,4,20.88,1.059,20.986,0.462,,,,,,
1876,5,21.386,0.897,21.037,0.435,,,,,,
1876,6,20.655,0.903,21.144000000000002,0.439,,,,,,
1876,7,20.942,0.905,21.165,0.445,,,,,,
1876,8,21.158,0.931,21.213,0.454,,,,,,
1876,9,21.22,0.909,21.177,0.456,,,,,,
1876,10,21.488,0.917,21.219,0.434,,,,,,
1876,11,21.011,1.121,21.248,0.448,,,,,,
1876,12,21.218,1.001,21.286,0.428,,,,,,
1877,1,21.244,1.311,21.387,0.416,,,,,,
1877,2,21.737000000000002,1.301,21.503,0.43,,,,,,
1877,3,21.182,1.172,21.521,0.436,,,,,,
1877,4,21.389,0.979,21.546,0.453,21.45,0.269,,,,
1877,5,21.729,1.008,21.672,0.422,21.455000000000002,0.274,,,,
1877,6,21.117,1.209,21.679000000000002,0.392,21.464,0.283,,,,
1877,7,22.155,0.915,21.786,0.425,21.471,0.287,,,,
1877,8,22.553,0.99,21.817,0.418,21.471,0.295,,,,
1877,9,21.429000000000002,1.085,21.94,0.394,21.493,0.306,,,,
1877,10,21.788,1.29,22.021,0.407,21.494,0.304,,,,
1877,11,22.528,1.023,22.049,0.411,21.5,0.3,,,,
1877,12,21.301000000000002,1.051,22.032,0.448,21.485,0.298,,,,
1878,1,22.531,1.659,22.107,0.498,21.475,0.297,,,,
1878,2,22.098,1.105,22.09,0.512,21.499,0.308,,,,
1878,3,22.665,0.902,22.208000000000002,0.516,21.512,0.301,,,,
1878,4,22.356,1.074,22.311,0.536,21.503,0.3,,,,
1878,5,22.071,1.01,22.285,0.537,21.533,0.3,,,,
1878,6,20.911,0.864,22.338,0.551,21.564,0.307,,,,
1878,7,23.053,1.72,22.348,0.532,21.577,0.311,21.436,0.31,,
1878,8,22.345,0.768,22.273,0.547,21.583000000000002,0.31,21.435,0.311,,
1878,9,22.855,0.946,22.113,0.517,21.578,0.314,21.432,0.308,,
1878,10,23.018,1.184,21.979,0.473,21.597,0.321,21.428,0.307,,
1878,11,22.216,1.047,21.837,0.387,21.625,0.346,21.434,0.304,,
1878,12,21.942,0.866,21.843,0.378,21.623,0.347,21.442,0.306,,
1879,1,22.646,0.966,21.69,0.328,21.625,0.346,21.448,0.307,,
1879,2,21.202,0.951,21.613,0.319,21.64,0.355,21.459,0.312,,
1879,3,20.740000000000002,0.996,21.442,0.321,21.645,0.353,21.472,0.319,,
1879,4,20.75,0.782,21.258,0.356,21.645,0.361,21.466,0.319,,
1879,5,20.372,1.251,21.193,0.309,21.655,0.372,21.456,0.314,,
1879,6,20.979,0.92,21.174,0.282,21.669,0.377,21.46,0.312,,
