STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2025,,18,,PERCENT,percent,,,E,Estimated value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2026,,19,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2027,,19,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2028,,19,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2029,,20,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2030,,20,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2031,,20,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2032,,20,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2033,,20,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2034,,19,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2035,,19,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2036,,19,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2037,,18,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2038,,17,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2039,,17,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2040,,16,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2041,,15,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2042,,15,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2043,,14,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2044,,13,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2045,,13,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2046,,13,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2047,,12,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2048,,12,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2049,,12,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,AS,American Samoa,POPYOUTH,Proportion of youth (15-24),_T,Total,2050,,12,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2025,,22,,PERCENT,percent,,,E,Estimated value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2026,,21,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2027,,20,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2028,,19,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2029,,19,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2030,,18,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2031,,17,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2032,,17,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2033,,17,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2034,,16,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2035,,16,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2036,,16,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2037,,16,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2038,,16,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2039,,16,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2040,,16,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2041,,17,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2042,,17,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2043,,17,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,MP,Northern Mariana Islands,POPCHILD,Proportion of children (<14),_T,Total,2044,,18,,PERCENT,percent,,,F,Forecasted value,,,,
