island,rate,confidence_interval,r_squared,p_value,significant,data_points,start_year,end_year,is_average
Samoa,9.88,0.7,0.6652,2.8564253899847093e-93,True,386,1993,2025,
Kiribati,3.49,0.71,0.1945,1.3081069654200092e-19,True,382,1992,2025,
Fiji,3.93,0.57,0.3176,4.549527328594968e-34,True,390,1992,2025,
Nauru,5.11,0.9,0.2541,7.363072416193116e-25,True,364,1993,2025,
Solomon,5.9,1.2,0.2052,8.156158284132083e-20,True,364,1994,2025,
Niue,10.23,7.11,0.1033,0.006266313841392279,True,71,2015,2025,
Tonga,7.22,0.66,0.5414,2.5189647543363734e-67,True,388,1993,2025,
Tuvalu,4.59,0.87,0.2207,2.5660498575478655e-22,True,381,1993,2025,
Papua,5.99,0.91,0.3251,3.2032163648456834e-31,True,346,1994,2025,
Marshall,4.39,0.78,0.2442,1.3135708255066279e-24,True,377,1993,2025,
Cook,4.65,0.62,0.3582,1.1248493819414188e-38,True,384,1993,2025,
Micronesia,6.57,1.58,0.2039,1.4366539951630354e-14,True,262,2001,2025,
Vanuatu,1.84,0.8,0.0511,8.9941326962774e-06,True,378,1993,2025,
Regional Average,5.68,0.6,,,,4473,1992,2025,True
