,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,value
0,A,EG_FEC_RNEW,CK,_T,_T,R,_T,_T,_T,_Z,_T,2016,100.0
1,A,EG_FEC_RNEW,CK,_T,_T,U,_T,_T,_T,_Z,_T,2016,19.2
2,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2000,9.28
3,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2001,9.9
4,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2002,12.25
5,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2003,11.07
6,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2004,10.4
7,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2005,9.42
8,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2006,8.42
9,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2007,8.71
10,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2008,8.42
11,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2009,9.01
12,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2010,7.25
13,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2011,6.52
14,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2012,6.17
15,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2013,6.32
16,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2014,6.26
17,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2015,7.18
18,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2016,7.74
19,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2017,8.0
20,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2018,9.39
21,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2019,9.02
22,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2020,9.94
23,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2021,8.76
24,A,EG_FEC_RNEW,CK,_T,_T,_T,_T,_T,_T,_Z,_T,2022,8.52
25,A,EG_FEC_RNEW,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2000,50.06
26,A,EG_FEC_RNEW,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2001,40.44
27,A,EG_FEC_RNEW,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2002,48.98
28,A,EG_FEC_RNEW,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2003,40.83
29,A,EG_FEC_RNEW,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2004,35.72
30,A,EG_FEC_RNEW,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2005,40.02
31,A,EG_FEC_RNEW,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2006,39.07
32,A,EG_FEC_RNEW,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2007,36.04
33,A,EG_FEC_RNEW,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2008,42.13
34,A,EG_FEC_RNEW,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2009,41.62
35,A,EG_FEC_RNEW,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2010,27.95
36,A,EG_FEC_RNEW,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2011,33.38
37,A,EG_FEC_RNEW,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2012,33.26
38,A,EG_FEC_RNEW,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2013,32.81
39,A,EG_FEC_RNEW,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2014,33.17
40,A,EG_FEC_RNEW,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2015,28.55
41,A,EG_FEC_RNEW,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2016,24.64
42,A,EG_FEC_RNEW,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2017,26.03
