tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,date,year,month,day,tsun
6.5,5.2,7.6,8.2,0.0,224.0,34.3,71.0,1005.2,2024-01-01,2024,1,1,
9.8,7.4,11.3,10.6,0.0,200.0,19.2,44.5,995.8,2024-01-02,2024,1,2,
10.0,9.2,10.9,14.5,0.0,236.0,23.8,46.3,993.7,2024-01-03,2024,1,3,
7.5,6.1,9.0,1.1,0.0,245.0,20.0,42.6,1002.7,2024-01-04,2024,1,4,
7.3,6.2,8.8,4.0,0.0,184.0,13.1,29.6,1001.2,2024-01-05,2024,1,5,
4.4,2.1,6.5,0.6,0.0,283.0,12.4,24.1,1009.2,2024-01-06,2024,1,6,
0.3,-1.8,1.9,0.3,0.0,355.0,13.4,27.8,1021.0,2024-01-07,2024,1,7,
-3.0,-4.7,-2.0,0.2,0.0,34.0,13.6,25.9,1029.6,2024-01-08,2024,1,8,
-4.3,-6.7,-1.2,0.0,10.0,80.0,10.0,20.4,1031.4,2024-01-09,2024,1,9,
-4.3,-6.9,-1.3,0.0,10.0,110.0,7.6,18.5,1029.6,2024-01-10,2024,1,10,
-3.2,-5.5,0.2,0.0,10.0,295.0,6.7,16.7,1032.9,2024-01-11,2024,1,11,
-1.1,-3.1,0.2,0.0,0.0,273.0,6.7,16.7,1033.2,2024-01-12,2024,1,12,
1.0,0.1,1.9,0.4,0.0,241.0,13.0,29.6,1024.6,2024-01-13,2024,1,13,
0.9,0.2,1.6,1.5,0.0,244.0,16.4,35.2,1012.0,2024-01-14,2024,1,14,
0.6,0.0,1.0,2.5,30.0,262.0,23.5,44.5,1004.9,2024-01-15,2024,1,15,
-0.6,-2.8,0.7,0.0,60.0,229.0,13.1,33.3,1009.9,2024-01-16,2024,1,16,
-2.0,-3.4,-0.6,12.7,50.0,101.0,8.3,18.5,994.5,2024-01-17,2024,1,17,
-2.6,-4.2,-1.2,0.0,180.0,309.0,11.1,24.1,1000.4,2024-01-18,2024,1,18,
-2.7,-4.9,0.3,0.0,160.0,235.0,9.9,22.2,1020.9,2024-01-19,2024,1,19,
-4.4,-7.9,-0.2,0.0,150.0,155.0,8.7,20.4,1029.8,2024-01-20,2024,1,20,
1.0,-3.0,5.4,0.6,80.0,165.0,14.4,29.6,1024.1,2024-01-21,2024,1,21,
8.1,5.9,9.8,1.0,0.0,216.0,23.0,42.6,1013.6,2024-01-22,2024,1,22,
7.1,5.2,10.3,2.3,0.0,233.0,21.5,46.3,1024.0,2024-01-23,2024,1,23,
10.4,7.5,12.3,0.0,0.0,251.0,28.5,61.1,1022.5,2024-01-24,2024,1,24,
7.1,5.6,8.0,0.9,0.0,225.0,11.2,31.5,1028.8,2024-01-25,2024,1,25,
7.9,3.9,10.3,5.9,0.0,236.0,16.2,46.3,1026.7,2024-01-26,2024,1,26,
2.9,0.3,6.8,0.0,0.0,186.0,8.0,22.2,1036.3,2024-01-27,2024,1,27,
3.9,-0.7,9.5,0.0,0.0,125.0,10.5,22.2,1030.6,2024-01-28,2024,1,28,
7.6,4.6,11.7,0.0,0.0,144.0,9.2,20.4,1028.2,2024-01-29,2024,1,29,
8.3,5.9,11.6,0.0,0.0,189.0,10.4,22.2,1029.7,2024-01-30,2024,1,30,
5.9,4.8,7.5,6.2,0.0,218.0,9.6,22.2,1032.9,2024-01-31,2024,1,31,
6.2,3.9,7.4,0.2,0.0,261.0,14.7,33.3,1030.2,2024-02-01,2024,2,1,
6.2,3.5,8.8,1.4,0.0,237.0,14.8,33.3,1030.8,2024-02-02,2024,2,2,
9.4,8.5,10.2,6.6,0.0,254.0,21.0,37.0,1027.2,2024-02-03,2024,2,3,
10.0,9.5,10.6,3.6,0.0,258.0,25.9,48.2,1023.7,2024-02-04,2024,2,4,
9.4,7.7,10.6,0.0,0.0,252.0,24.7,46.3,1021.4,2024-02-05,2024,2,5,
9.7,8.0,11.1,10.2,0.0,233.0,23.9,46.3,1013.9,2024-02-06,2024,2,6,
7.1,3.5,10.9,18.9,0.0,291.0,15.5,46.3,1004.8,2024-02-07,2024,2,7,
5.5,3.0,9.5,13.6,0.0,125.0,8.1,20.4,998.6,2024-02-08,2024,2,8,
11.1,9.4,13.4,3.3,0.0,181.0,11.4,27.8,987.9,2024-02-09,2024,2,9,
10.4,8.5,12.6,2.6,0.0,131.0,7.7,20.4,987.0,2024-02-10,2024,2,10,
8.8,7.0,10.7,1.6,0.0,211.0,10.6,25.9,991.5,2024-02-11,2024,2,11,
6.7,4.9,8.3,0.1,0.0,250.0,12.9,29.6,1005.0,2024-02-12,2024,2,12,
5.7,2.3,8.7,0.2,0.0,208.0,10.8,25.9,1018.4,2024-02-13,2024,2,13,
10.0,6.9,12.1,4.5,0.0,199.0,12.1,24.1,1018.1,2024-02-14,2024,2,14,
12.2,10.4,15.2,0.0,0.0,158.0,9.8,20.4,1016.4,2024-02-15,2024,2,15,
12.0,10.0,14.6,3.4,0.0,192.0,11.4,25.9,1015.3,2024-02-16,2024,2,16,
9.5,7.3,11.7,0.0,0.0,256.0,10.7,22.2,1030.3,2024-02-17,2024,2,17,
8.0,6.2,9.4,6.0,0.0,184.0,12.0,37.0,1028.1,2024-02-18,2024,2,18,
8.7,7.3,10.5,2.0,0.0,269.0,18.8,37.0,1026.8,2024-02-19,2024,2,19,
8.1,6.0,10.6,0.0,0.0,251.0,13.4,29.6,1027.9,2024-02-20,2024,2,20,
8.8,7.3,10.3,12.1,0.0,194.0,13.6,29.6,1016.7,2024-02-21,2024,2,21,
10.7,9.2,12.3,11.8,0.0,197.0,19.0,53.7,992.6,2024-02-22,2024,2,22,
6.9,4.9,9.1,0.0,0.0,201.0,17.6,48.2,993.8,2024-02-23,2024,2,23,
5.5,4.4,7.4,1.2,0.0,178.0,12.5,31.5,1000.1,2024-02-24,2024,2,24,
6.4,4.2,9.2,9.5,0.0,158.0,12.4,27.8,1002.0,2024-02-25,2024,2,25,
