year,actual_bloom_doy,predicted_bloom_doy,error_days,actual_bloom_date,predicted_bloom_date
2015,106,104.48,-1.519999999999996,2015-04-16,2015-04-14
2016,105,103.73,-1.269999999999996,2016-04-14,2016-04-12
2017,90,92.71,2.7099999999999937,2017-03-31,2017-04-02
2018,105,103.71,-1.2900000000000063,2018-04-15,2018-04-13
2019,97,96.87,-0.12999999999999545,2019-04-07,2019-04-06
2020,95,96.64,1.6400000000000006,2020-04-04,2020-04-05
2021,103,101.79,-1.2099999999999937,2021-04-13,2021-04-11
2022,97,97.12,0.12000000000000455,2022-04-07,2022-04-07
2023,101,99.92,-1.0799999999999983,2023-04-11,2023-04-09
2024,90,92.27,2.269999999999996,2024-03-30,2024-04-01
