Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,income_level,trend,slope,r_value,p_value,percent_change
Afghanistan,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",1346.0,1273.0,1277.0,1196.0,1115.0,1103.0,1044.0,1023.0,962.0,913.0,899.0,884.0,833.0,821.0,785.0,776.0,750.0,682.0,663.0,644.0,620.0,,,,Low income,decreasing,-35.305194805194795,-0.9891807005407428,2.65105747010935e-17,-53.937592867756315
Albania,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",14.0,13.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,8.0,,,,Upper middle income,decreasing,-0.3857142857142858,-0.9467372789796736,8.46642497799431e-11,-42.857142857142854
Algeria,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",159.0,156.0,150.0,153.0,137.0,144.0,134.0,125.0,117.0,115.0,112.0,105.0,99.0,94.0,86.0,89.0,89.0,89.0,79.0,77.0,78.0,,,,Lower middle income,decreasing,-4.455844155844156,-0.9829592547189747,1.9373940210170746e-15,-50.943396226415096
American Samoa,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Andorra,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Angola,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",860.0,800.0,758.0,676.0,594.0,550.0,508.0,463.0,438.0,399.0,367.0,335.0,304.0,291.0,292.0,274.0,270.0,253.0,233.0,228.0,222.0,,,,Lower middle income,decreasing,-30.811688311688307,-0.9497382309861032,4.938100965405468e-11,-74.18604651162791
Antigua and Barbuda,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",51.0,47.0,41.0,44.0,43.0,34.0,35.0,34.0,39.0,37.0,31.0,31.0,30.0,29.0,23.0,27.0,21.0,21.0,19.0,19.0,21.0,,,,High income,decreasing,-1.4844155844155837,-0.9592743694730266,6.946737756379584e-12,-58.82352941176471
Argentina,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",72.0,72.0,71.0,79.0,73.0,63.0,61.0,63.0,59.0,57.0,55.0,50.0,45.0,43.0,42.0,39.0,40.0,38.0,34.0,33.0,45.0,,,,Upper middle income,decreasing,-2.198701298701299,-0.9493723297572925,5.2827776441622484e-11,-37.5
Armenia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",50.0,50.0,48.0,43.0,42.0,38.0,40.0,36.0,34.0,33.0,33.0,31.0,29.0,27.0,28.0,25.0,24.0,25.0,25.0,25.0,27.0,,,,Upper middle income,decreasing,-1.3311688311688312,-0.9528090914679018,2.7459384882414245e-11,-46.0
Aruba,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Australia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,,,,High income,decreasing,-0.08571428571428572,-0.6400431019968835,0.0017782045270338122,-57.14285714285714
Austria,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,,,,High income,decreasing,-0.03376623376623377,-0.4800568148193977,0.027633458296509147,-16.666666666666664
Azerbaijan,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",56.0,55.0,54.0,51.0,47.0,44.0,39.0,34.0,33.0,33.0,33.0,31.0,29.0,28.0,29.0,29.0,26.0,27.0,28.0,27.0,41.0,,,,Upper middle income,decreasing,-1.3597402597402597,-0.8220783753743486,4.842205287143617e-06,-26.785714285714285
"Bahamas, The","Maternal mortality ratio (modeled estimate, per 100,000 live births)",61.0,63.0,66.0,69.0,72.0,74.0,79.0,86.0,86.0,89.0,79.0,101.0,101.0,82.0,97.0,84.0,79.0,77.0,77.0,82.0,77.0,,,,High income,increasing,0.8688311688311688,0.48757962911497443,0.024956599073158173,26.229508196721312
Bahrain,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",24.0,23.0,25.0,25.0,22.0,21.0,21.0,18.0,18.0,18.0,20.0,19.0,18.0,16.0,15.0,16.0,15.0,15.0,14.0,15.0,16.0,,,,High income,decreasing,-0.5272727272727272,-0.9257126004689771,1.8377881370081648e-09,-33.33333333333333
Bangladesh,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",441.0,437.0,414.0,404.0,372.0,376.0,353.0,377.0,368.0,338.0,301.0,301.0,237.0,219.0,219.0,212.0,196.0,183.0,172.0,157.0,123.0,,,,Lower middle income,decreasing,-16.06233766233766,-0.983799018419777,1.2026279016152593e-15,-72.10884353741497
Barbados,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",48.0,49.0,47.0,45.0,43.0,43.0,42.0,40.0,54.0,53.0,53.0,53.0,52.0,51.0,49.0,49.0,48.0,47.0,47.0,47.0,39.0,,,,High income,increasing,0.02987012987012987,0.04256778321343141,0.8546350158546915,-18.75
Belarus,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",24.0,23.0,17.0,14.0,11.0,11.0,8.0,6.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,Upper middle income,decreasing,-1.0402597402597402,-0.877090250349882,1.807056606575675e-07,-95.83333333333334
Belgium,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",8.0,8.0,8.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,High income,decreasing,-0.1636363636363637,-0.9305716718037557,9.852966454308519e-10,-37.5
Belize,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",86.0,86.0,76.0,78.0,80.0,72.0,64.0,56.0,46.0,39.0,33.0,33.0,28.0,32.0,38.0,49.0,59.0,72.0,78.0,86.0,130.0,,,,Lower middle income,decreasing,-0.058441558441558066,-0.01428713023004274,0.9509883905546364,51.162790697674424
Benin,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",469.0,483.0,505.0,505.0,520.0,509.0,503.0,488.0,504.0,584.0,598.0,615.0,625.0,608.0,612.0,591.0,590.0,569.0,542.0,522.0,523.0,,,,Lower middle income,increasing,4.5896103896103915,0.5626056777140507,0.007930774627465813,11.513859275053305
Bermuda,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Bhutan,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",305.0,257.0,256.0,222.0,197.0,186.0,183.0,153.0,141.0,129.0,117.0,94.0,92.0,84.0,78.0,74.0,66.0,68.0,57.0,62.0,60.0,,,,Lower middle income,decreasing,-11.663636363636364,-0.9554338939804364,1.6108334911967486e-11,-80.32786885245902
Bolivia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",284.0,261.0,253.0,251.0,236.0,230.0,218.0,220.0,211.0,187.0,184.0,178.0,179.0,175.0,163.0,165.0,161.0,164.0,171.0,176.0,161.0,,,,Lower middle income,decreasing,-5.796103896103896,-0.9361869498021436,4.5212207709434937e-10,-43.309859154929576
Bosnia and Herzegovina,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",16.0,14.0,15.0,12.0,11.0,11.0,10.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,6.0,6.0,6.0,5.0,6.0,,,,Upper middle income,decreasing,-0.464935064935065,-0.9262682953011895,1.715042206130563e-09,-62.5
Botswana,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",182.0,184.0,174.0,184.0,196.0,201.0,213.0,216.0,222.0,185.0,156.0,226.0,260.0,142.0,179.0,184.0,134.0,108.0,162.0,118.0,186.0,,,,Upper middle income,decreasing,-2.441558441558442,-0.41268922155403903,0.06299324397615741,2.197802197802198
Brazil,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",68.0,68.0,72.0,69.0,70.0,70.0,71.0,72.0,70.0,68.0,64.0,62.0,57.0,61.0,62.0,62.0,63.0,60.0,59.0,61.0,72.0,,,,Upper middle income,decreasing,-0.48441558441558435,-0.6149447076728484,0.0030101333886523884,5.88235294117647
British Virgin Islands,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Brunei Darussalam,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",50.0,50.0,51.0,46.0,46.0,46.0,46.0,48.0,48.0,42.0,42.0,42.0,43.0,43.0,44.0,45.0,45.0,45.0,45.0,45.0,44.0,,,,High income,decreasing,-0.26493506493506486,-0.6230254220597817,0.002553153851039778,-12.0
Bulgaria,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",22.0,21.0,19.0,17.0,15.0,14.0,12.0,10.0,9.0,10.0,10.0,8.0,8.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,,,,Upper middle income,decreasing,-0.7181818181818181,-0.8975885097196074,3.4684894777497096e-08,-68.18181818181817
Burkina Faso,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",506.0,500.0,497.0,457.0,438.0,417.0,406.0,400.0,375.0,368.0,357.0,340.0,321.0,324.0,313.0,295.0,293.0,283.0,277.0,283.0,264.0,,,,Low income,decreasing,-12.424675324675325,-0.9814021929885227,4.4191933917126834e-15,-47.82608695652174
Burundi,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",874.0,823.0,779.0,779.0,740.0,713.0,696.0,676.0,630.0,618.0,608.0,575.0,564.0,555.0,527.0,514.0,508.0,499.0,518.0,479.0,494.0,,,,Low income,decreasing,-18.889610389610393,-0.9732570959492884,1.3495992376796438e-13,-43.47826086956522
Cabo Verde,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",125.0,103.0,96.0,82.0,74.0,77.0,73.0,66.0,69.0,58.0,54.0,50.0,54.0,42.0,42.0,47.0,42.0,40.0,48.0,42.0,42.0,,,,Lower middle income,decreasing,-3.41948051948052,-0.9077443238772602,1.3395020822339717e-08,-66.4
Cambodia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",606.0,574.0,497.0,464.0,447.0,382.0,350.0,327.0,309.0,277.0,276.0,252.0,246.0,229.0,228.0,209.0,197.0,204.0,209.0,214.0,218.0,,,,Lower middle income,decreasing,-18.885714285714286,-0.9193764097205761,3.899914557348749e-09,-64.02640264026402
Cameroon,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",651.0,629.0,611.0,574.0,556.0,573.0,558.0,529.0,532.0,534.0,527.0,519.0,487.0,491.0,478.0,447.0,437.0,443.0,424.0,440.0,438.0,,,,Lower middle income,decreasing,-10.554545454545455,-0.9743307267562059,9.182592360523393e-14,-32.71889400921659
Canada,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",9.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,12.0,12.0,12.0,11.0,12.0,12.0,13.0,13.0,11.0,11.0,11.0,,,,High income,increasing,0.08961038961038958,0.5168865612218188,0.01642568622611578,22.22222222222222
Cayman Islands,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Central African Republic,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",1315.0,1284.0,1281.0,1248.0,1217.0,1158.0,1116.0,1124.0,1108.0,1105.0,1052.0,1029.0,963.0,963.0,939.0,909.0,877.0,904.0,868.0,847.0,835.0,,,,Low income,decreasing,-25.048051948051945,-0.9904077200673101,8.488730478720052e-18,-36.50190114068441
Chad,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",1366.0,1343.0,1291.0,1255.0,1229.0,1241.0,1255.0,1264.0,1245.0,1311.0,1303.0,1284.0,1237.0,1217.0,1142.0,1125.0,1145.0,1095.0,1076.0,1047.0,1063.0,,,,Low income,decreasing,-13.316883116883114,-0.8761033209444443,1.94191641086063e-07,-22.18155197657394
Channel Islands,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
China,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",58.0,55.0,54.0,43.0,49.0,46.0,43.0,39.0,38.0,34.0,33.0,32.0,28.0,28.0,26.0,26.0,23.0,22.0,20.0,20.0,23.0,,,,Upper middle income,decreasing,-1.8999999999999995,-0.9723874998097136,1.8228834658211415e-13,-60.3448275862069
Colombia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",93.0,94.0,93.0,83.0,82.0,82.0,82.0,83.0,73.0,71.0,71.0,71.0,71.0,70.0,70.0,70.0,70.0,71.0,63.0,65.0,75.0,,,,Upper middle income,decreasing,-1.283116883116883,-0.8700563760147715,2.979693069535036e-07,-19.35483870967742
Comoros,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",456.0,435.0,392.0,385.0,374.0,360.0,365.0,358.0,361.0,311.0,316.0,293.0,297.0,285.0,292.0,261.0,255.0,241.0,244.0,237.0,217.0,,,,Lower middle income,decreasing,-10.68831168831169,-0.9811874420445381,4.924358003675262e-15,-52.41228070175439
"Congo, Dem. Rep.","Maternal mortality ratio (modeled estimate, per 100,000 live births)",668.0,661.0,662.0,655.0,643.0,635.0,619.0,629.0,621.0,603.0,601.0,585.0,595.0,585.0,573.0,578.0,562.0,570.0,543.0,541.0,547.0,,,,Low income,decreasing,-6.4857142857142875,-0.9871714303606696,1.3269309985289186e-16,-18.113772455089823
"Congo, Rep.","Maternal mortality ratio (modeled estimate, per 100,000 live births)",660.0,641.0,620.0,587.0,541.0,488.0,479.0,439.0,415.0,415.0,389.0,387.0,402.0,362.0,375.0,360.0,353.0,366.0,370.0,292.0,282.0,,,,Lower middle income,decreasing,-16.801298701298705,-0.9391273219723252,2.9219355544899055e-10,-57.27272727272727
Costa Rica,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",39.0,37.0,36.0,37.0,32.0,31.0,29.0,28.0,27.0,26.0,27.0,24.0,24.0,23.0,24.0,20.0,19.0,19.0,18.0,19.0,22.0,,,,Upper middle income,decreasing,-1.0103896103896106,-0.9559009183084922,1.4600963472605914e-11,-43.58974358974359
