,Fiscal Year,US Category Name,Constant Dollar Amount
0,1946,Economic Development,3545424666
1,1947,Economic Development,5201833736
2,1948,Economic Development,8797102200
3,1949,Economic Development,16187021868
4,1950,Economic Development,12407087328
5,1951,Economic Development,16386632553
6,1952,Economic Development,7065892483
7,1953,Economic Development,5264241504
8,1954,Economic Development,4656835867
9,1955,Economic Development,5622526379
10,1956,Economic Development,5065774675
11,1957,Economic Development,7005578878
12,1958,Economic Development,3797677346
13,1959,Economic Development,3609005551
14,1960,Economic Development,3953733599
15,1961,Economic Development,4090178535
16,1962,Economic Development,4787866091
17,1963,Economic Development,4733496657
18,1964,Economic Development,5102940179
19,1965,Economic Development,6282370671
20,1966,Economic Development,11909337556
21,1967,Economic Development,10113724513
22,1968,Economic Development,13353405089
23,1969,Economic Development,14256918455
24,1970,Economic Development,13963173408
25,1970,Peace and Security,52387091
26,1971,Economic Development,16814684738
27,1971,Peace and Security,1024519425
28,1972,Economic Development,19338621826
29,1972,Peace and Security,968336101
30,1973,Economic Development,22953418752
31,1973,Peace and Security,798159502
32,1974,Economic Development,9379071735
33,1974,Peace and Security,1855844998
34,1975,Economic Development,5652799569
35,1975,Peace and Security,1104127011
36,1976,Economic Development,801482568
37,1977,Economic Development,397278042
38,1977,Peace and Security,174273
39,1978,Economic Development,482634866
40,1978,Peace and Security,783119
41,1979,Economic Development,356859885
42,1979,Peace and Security,830969
43,1980,Economic Development,517990543
44,1980,Peace and Security,581135
45,1981,Economic Development,361466987
46,1981,Peace and Security,601146
47,1982,Economic Development,495710699
48,1982,Peace and Security,1137599
49,1983,Economic Development,549454155
50,1983,Peace and Security,1296204
51,1984,Economic Development,442521785
52,1984,Peace and Security,1340854
53,1985,Economic Development,488857734
54,1985,Peace and Security,1764490
55,1986,Economic Development,392839388
56,1986,Peace and Security,1895204
57,1987,Economic Development,513394043
58,1987,Education and Social Services,23027730
59,1987,Multi-sector,577447979
60,1987,Peace and Security,2376461
61,1988,"Democracy, Human Rights, and Governance",48946211
62,1988,Economic Development,393322788
63,1988,Education and Social Services,22304038
64,1988,Multi-sector,261557224
65,1988,Peace and Security,2203639
66,1989,"Democracy, Human Rights, and Governance",37950178
67,1989,Economic Development,630431310
68,1989,Education and Social Services,21438356
69,1989,Multi-sector,218604775
70,1989,Peace and Security,1464241
71,1990,"Democracy, Human Rights, and Governance",46916608
72,1990,Economic Development,831678879
73,1990,Education and Social Services,20682820
74,1990,Multi-sector,265710113
75,1990,Peace and Security,4672249
76,1991,"Democracy, Human Rights, and Governance",53249773
77,1991,Economic Development,1239694507
78,1991,Education and Social Services,19968919
79,1991,Multi-sector,230567126
80,1991,Peace and Security,19836305
81,1992,"Democracy, Human Rights, and Governance",51817914
82,1992,Economic Development,1700548844
83,1992,Education and Social Services,19481327
84,1992,Humanitarian Assistance,409220067
85,1992,Multi-sector,203459090
86,1992,Peace and Security,28720950
87,1992,Program Support,292220
88,1993,"Democracy, Human Rights, and Governance",22227202
89,1993,Economic Development,2192827738
90,1993,Education and Social Services,19034773
91,1993,Environment,11420703
92,1993,Humanitarian Assistance,1246221707
93,1993,Multi-sector,199490133
94,1993,Peace and Security,441536813
95,1993,Program Support,2174852
96,1994,"Democracy, Human Rights, and Governance",26791603
97,1994,Economic Development,5336810916
98,1994,Education and Social Services,18628109
99,1994,Environment,10110982
100,1994,Humanitarian Assistance,864864210
101,1994,Multi-sector,156109144
102,1994,Peace and Security,986977405
103,1994,Program Support,81218554
104,1995,"Democracy, Human Rights, and Governance",21515082
105,1995,Economic Development,2682121854
106,1995,Education and Social Services,18241183
107,1995,Environment,23736797
108,1995,Humanitarian Assistance,686243753
109,1995,Multi-sector,393161350
110,1995,Peace and Security,630243270
111,1995,Program Support,45100398
112,1996,"Democracy, Human Rights, and Governance",27527036
113,1996,Economic Development,2140080194
114,1996,Education and Social Services,17904077
115,1996,Humanitarian Assistance,780804280
116,1996,Multi-sector,177234253
117,1996,Peace and Security,611446703
118,1997,"Democracy, Human Rights, and Governance",34531064
119,1997,Economic Development,1716889175
120,1997,Education and Social Services,17591872
121,1997,Humanitarian Assistance,806859990
122,1997,Multi-sector,196344643
123,1997,Peace and Security,731761840
124,1997,Program Support,10313983
125,1998,"Democracy, Human Rights, and Governance",32308910
126,1998,Economic Development,2271337910
127,1998,Education and Social Services,17378383
128,1998,Environment,407585
129,1998,Health,1635749
130,1998,Humanitarian Assistance,835422339
131,1998,Multi-sector,160459936
132,1998,Peace and Security,857540995
133,1998,Program Support,8672481
134,1999,"Democracy, Human Rights, and Governance",72767789
135,1999,Economic Development,3442420376
136,1999,Education and Social Services,17161536
137,1999,Environment,463356
138,1999,Health,21450253
139,1999,Humanitarian Assistance,2174951926
140,1999,Multi-sector,370416577
141,1999,Peace and Security,1100030070
142,2000,"Democracy, Human Rights, and Governance",59058039
143,2000,Economic Development,2999451048
144,2000,Education and Social Services,16896400
145,2000,Environment,5475075
146,2000,Health,17375120
147,2000,Humanitarian Assistance,1405634121
148,2000,Multi-sector,274108859
149,2000,Peace and Security,923160425
150,2001,"Democracy, Human Rights, and Governance",1307403245
151,2001,Economic Development,2819509102
152,2001,Education and Social Services,2397591166
153,2001,Environment,436920890
154,2001,Health,3110606392
155,2001,Humanitarian Assistance,3213908836
156,2001,Multi-sector,508532324
157,2001,Peace and Security,2502599169
158,2001,Program Support,1817807882
159,2002,"Democracy, Human Rights, and Governance",2024200150
160,2002,Economic Development,5675267669
161,2002,Education and Social Services,2632424552
162,2002,Environment,623933262
163,2002,Health,4297394316
164,2002,Humanitarian Assistance,5780160042
165,2002,Multi-sector,539937084
166,2002,Peace and Security,2821242139
167,2002,Program Support,1864998943
168,2003,"Democracy, Human Rights, and Governance",2104020963
169,2003,Economic Development,6046944644
170,2003,Education and Social Services,3230507324
171,2003,Environment,566643660
172,2003,Health,4644991461
173,2003,Humanitarian Assistance,6407691729
174,2003,Multi-sector,579355016
175,2003,Peace and Security,2980917363
176,2003,Program Support,2125403177
177,2004,"Democracy, Human Rights, and Governance",4210507610
178,2004,Economic Development,7095404847
179,2004,Education and Social Services,3584314732
180,2004,Environment,777918019
181,2004,Health,5363642938
182,2004,Humanitarian Assistance,4167045613
183,2004,Multi-sector,355894196
184,2004,Peace and Security,3324843155
185,2004,Program Support,2305597015
186,2005,"Democracy, Human Rights, and Governance",6693990813
187,2005,Economic Development,11879367446
188,2005,Education and Social Services,3269886219
189,2005,Environment,561366727
190,2005,Health,7520888969
191,2005,Humanitarian Assistance,6588137797
192,2005,Multi-sector,683848972
193,2005,Peace and Security,6236154778
194,2005,Program Support,2233163989
195,2006,"Democracy, Human Rights, and Governance",3664142803
196,2006,Economic Development,10491044582
197,2006,Education and Social Services,3667828406
198,2006,Environment,504019289
199,2006,Health,8369907456
200,2006,Humanitarian Assistance,5715514788
201,2006,Multi-sector,328533656
202,2006,Peace and Security,3424278105
203,2006,Program Support,2306814642
204,2007,"Democracy, Human Rights, and Governance",3304096424
205,2007,Economic Development,9785035972
206,2007,Education and Social Services,3582852237
207,2007,Environment,434153377
208,2007,Health,8897748375
209,2007,Humanitarian Assistance,5038034758
210,2007,Multi-sector,381989157
211,2007,Peace and Security,3357241596
212,2007,Program Support,2344469925
213,2008,"Democracy, Human Rights, and Governance",3080462568
214,2008,Economic Development,10491348274
215,2008,Education and Social Services,2673210993
216,2008,Environment,459563661
217,2008,Health,10808249355
218,2008,Humanitarian Assistance,6991768354
219,2008,Multi-sector,396379230
220,2008,Peace and Security,4698844190
221,2008,Program Support,2595146513
222,2009,"Democracy, Human Rights, and Governance",5394471051
223,2009,Economic Development,7712370965
224,2009,Education and Social Services,2906119600
225,2009,Environment,474693093
226,2009,Health,14117643975
227,2009,Humanitarian Assistance,7605019278
228,2009,Multi-sector,447861365
229,2009,Peace and Security,6051412495
230,2009,Program Support,3067962561
231,2010,"Democracy, Human Rights, and Governance",5549431274
232,2010,Economic Development,6464512965
233,2010,Education and Social Services,3539671844
234,2010,Environment,750757490
235,2010,Health,12731499866
236,2010,Humanitarian Assistance,6435850124
237,2010,Multi-sector,1228891193
238,2010,Peace and Security,6285822470
239,2010,Program Support,4526998443
240,2011,"Democracy, Human Rights, and Governance",6074452533
241,2011,Economic Development,6535741446
242,2011,Education and Social Services,3147953885
243,2011,Environment,896578180
244,2011,Health,13763968770
245,2011,Humanitarian Assistance,6843271221
246,2011,Multi-sector,1016943892
247,2011,Peace and Security,5950259476
248,2011,Program Support,4161503237
